BMU;Dist
533;0.1
534;0.09
535;0.45
536;0.38
537;0.36
538;0.31
539;0.53
540;0.05
541;0.08
542;0.0
543;0.0
544;0.0
545;0.0
546;0.0
547;0.07
548;0.0
549;0.42
550;0.0
551;0.02
552;0.03
553;0.03
554;0.03
555;0.03
556;0.26
557;0.23
558;0.42
559;0.3
560;0.33
561;0.17
562;0.19
563;0.19
564;0.19
565;0.19
566;0.39
567;0.19
568;0.04
569;0.01
570;0.0
571;0.0
572;0.0
573;0.03
574;0.07
575;0.38
576;0.78
577;0.33
578;0.06
579;0.24
580;0.0
581;0.29
582;0.37
583;0.31
584;0.21
585;0.38
586;0.77
587;0.36
588;0.03
589;0.02
590;0.0
591;0.0
592;0.0
593;0.02
594;0.07
595;0.16
596;0.42
597;0.15
598;0.02
599;0.01
600;0.0
601;0.01
602;0.0
603;0.08
604;0.19
605;0.27
606;0.36
607;0.21
608;0.17
609;0.15
610;0.0
611;0.15
612;0.16
613;0.3
614;0.03
615;0.0
616;0.0
617;0.0
618;0.0
619;0.0
620;0.01
621;0.07
622;0.54
623;0.39
624;0.56
625;0.58
626;0.58
627;0.58
628;0.58
629;0.21
630;0.23
631;0.36
632;0.28
633;0.74
634;0.02
635;0.03
636;0.0
637;0.0
638;0.0
639;0.0
640;0.07
641;0.0
642;0.42
643;0.0
644;0.02
645;0.0
646;0.0
647;0.0
648;0.0
649;0.0
650;0.02
651;0.17
652;0.28
653;0.08
654;0.02
655;0.19
656;0.19
657;0.19
658;0.16
659;0.25
660;0.33
661;0.11
662;0.0
663;0.01
664;0.0
665;0.01
666;0.01
667;0.21
668;0.6
669;0.38
670;0.28
671;0.25
672;0.0
673;0.2
674;0.0
675;0.14
676;0.02
677;0.18
678;0.3
679;0.45
680;0.74
681;0.38
682;0.03
683;0.18
684;0.0
685;0.11
686;0.07
687;0.15
688;0.42
689;0.17
690;0.02
691;0.01
692;0.0
693;0.0
694;0.0
695;0.01
696;0.02
697;0.18
698;0.45
699;0.16
700;0.08
701;0.05
702;0.0
703;0.07
704;0.02
705;0.07
706;0.26
707;0.21
708;0.25
709;0.03
710;0.04
711;0.04
712;0.04
713;0.0
714;0.0
715;0.55
716;0.17
717;0.3
718;0.03
719;0.03
720;0.03
721;0.03
722;0.03
723;0.03
724;0.01
725;0.16
726;0.25
727;0.37
728;0.99
729;0.5
730;0.53
731;0.53
732;0.53
733;0.04
734;0.05
735;0.27
736;0.15
737;0.02
738;0.0
739;0.0
740;0.0
741;0.0
742;0.0
743;0.02
744;0.0
745;0.45
746;0.0
747;0.08
748;0.01
749;0.01
750;0.01
751;0.01
752;0.03
753;0.43
754;0.37
755;0.29
756;0.23
757;0.19
758;0.0
759;0.12
760;0.03
761;0.23
762;0.55
763;0.3
764;0.27
765;0.1
766;0.0
767;0.01
768;0.0
769;0.01
770;0.0
771;0.04
772;0.17
773;0.22
774;0.3
775;0.37
776;0.49
777;0.43
778;0.0
779;0.43
780;0.5
781;0.37
782;0.31
783;0.22
784;0.17
785;0.03
786;0.0
787;0.01
788;0.0
789;0.01
790;0.02
791;0.13
792;0.45
793;0.21
794;0.08
795;0.03
796;0.0
797;0.0
798;0.0
799;0.02
800;0.65
801;0.32
802;0.35
803;0.4
804;0.4
805;0.4
806;0.21
807;0.24
808;0.54
809;0.01
810;0.27
811;0.0
812;0.0
813;0.0
814;0.0
815;0.0
816;0.0
817;0.0
818;0.02
819;0.15
820;0.27
821;0.05
822;0.04
823;0.53
824;0.53
825;0.53
826;0.5
827;1.0
828;0.33
829;0.28
830;0.16
831;0.01
832;0.0
833;0.0
834;0.03
835;0.03
836;0.03
837;0.02
838;0.28
839;0.23
840;0.08
841;0.04
842;0.0
843;0.0
844;0.0
845;0.0
846;0.06
847;0.21
848;0.04
849;0.14
850;0.0
851;0.18
852;0.2
853;0.25
854;0.43
855;0.33
856;0.28
857;0.1
858;0.0
859;0.0
860;0.0
861;0.0
862;0.0
863;0.01
864;0.02
865;0.17
866;0.41
867;0.14
868;0.07
869;0.11
870;0.0
871;0.18
872;0.03
873;0.4
874;0.8
875;0.46
876;0.36
877;0.17
878;0.01
879;0.05
880;0.03
881;0.15
882;0.0
883;0.26
884;0.27
885;0.31
886;0.28
887;0.15
888;0.04
889;0.01
890;0.0
891;0.02
892;0.06
893;0.04
894;0.0
895;0.06
896;0.04
897;0.04
898;0.04
899;0.03
900;0.23
901;0.22
902;0.43
903;0.26
904;0.02
905;0.01
906;0.01
907;0.0
908;0.0
909;0.0
910;0.0
911;0.02
912;0.01
913;0.41
914;0.0
915;0.07
916;0.0
917;0.0
918;0.0
919;0.0
920;0.03
921;0.02
922;0.82
923;0.19
924;0.49
925;0.02
926;0.02
927;0.25
928;0.22
929;0.61
930;0.61
931;0.61
932;0.37
933;0.44
934;0.43
935;0.0
936;0.04
937;0.0
938;0.0
939;0.06
940;0.0
941;0.04
942;0.06
943;0.03
944;0.0
945;0.01
946;0.0
947;0.05
948;0.04
949;0.23
950;0.62
951;0.27
952;0.02
953;0.04
954;0.01
955;0.04
956;0.0
957;0.04
958;0.02
959;0.16
960;0.41
961;0.17
962;0.07
963;0.02
964;0.0
965;0.0
966;0.0
967;0.02
968;0.02
969;0.33
970;0.71
971;0.46
972;0.47
973;0.39
974;0.23
975;0.35
976;0.39
977;0.3
978;0.0
979;0.21
980;0.08
981;0.24
982;0.43
983;0.21
984;0.04
985;0.15
986;0.06
987;0.23
988;0.05
989;0.01
990;0.0
991;0.0
992;0.0
993;0.0
994;0.0
995;0.04
996;0.04
997;0.59
998;0.11
999;0.1
1000;0.1
1001;0.11
1002;0.11
1003;0.11
1004;0.1
1005;0.09
1006;0.39
1007;0.03
1008;0.07
1009;0.0
1010;0.0
1011;0.0
1012;0.0
1013;0.0
1014;0.06
1015;0.03
1016;0.35
1017;0.49
1018;0.43
1019;0.83
1020;0.74
1021;0.53
1022;0.49
1023;0.1
1024;0.1
1025;0.11
1026;0.11
1027;0.04
1028;0.0
1029;0.43
1030;0.3
1031;0.33
1032;0.44
1033;0.39
1034;0.64
1035;0.07
1036;0.01
1037;0.0
1038;0.0
1039;0.01
1040;0.0
1041;0.08
1042;0.07
1043;0.36
1044;0.61
1045;0.21
1046;0.01
1047;0.1
1048;0.0
1049;0.11
1050;0.01
1051;0.16
1052;0.4
1053;0.24
1054;0.1
1055;0.04
1056;0.0
1057;0.0
1058;0.0
