BMU;Dist
466;0.0
467;0.0
468;0.0
469;0.0
470;0.07
471;0.13
472;0.02
473;0.03
474;0.0
475;0.04
476;0.19
477;0.27
478;0.37
479;0.14
480;0.02
481;0.07
482;0.0
483;0.07
484;0.03
485;0.19
486;0.51
487;0.48
488;0.63
489;0.41
490;0.0
491;0.31
492;0.0
493;0.27
494;0.19
495;0.27
496;0.18
497;0.18
498;0.02
499;0.2
500;0.31
501;0.29
502;0.33
503;0.08
504;0.0
505;0.02
506;0.0
507;0.04
508;0.07
509;0.3
510;0.81
511;0.31
512;0.07
513;0.04
514;0.0
515;0.04
516;0.07
517;0.07
518;0.0
519;0.02
520;0.0
521;0.0
522;0.0
523;0.02
524;0.17
525;0.29
526;0.08
527;0.03
528;0.01
529;0.01
530;0.01
531;0.01
532;0.03
533;0.08
534;0.45
535;0.61
536;0.05
537;0.08
538;0.07
539;0.08
540;0.08
541;0.08
542;0.16
543;0.16
544;0.02
545;0.01
546;0.02
547;0.03
548;0.28
549;0.28
550;0.05
551;0.0
552;0.0
553;0.0
554;0.0
555;0.0
556;0.07
557;0.05
558;0.78
559;0.05
560;0.11
561;0.06
562;0.06
563;0.08
564;0.05
565;0.01
566;0.02
567;0.01
568;0.0
569;0.0
570;0.02
571;0.12
572;0.46
573;0.24
574;0.08
575;0.03
576;0.0
577;0.01
578;0.0
579;0.04
580;0.09
581;0.44
582;1.0
583;0.31
584;0.09
585;0.04
586;0.0
587;0.03
588;0.03
589;0.13
590;0.32
591;0.12
592;0.03
593;0.02
594;0.05
595;0.16
596;0.56
597;0.25
598;0.05
599;0.02
600;0.0
601;0.0
602;0.0
603;0.04
604;0.11
605;0.39
606;0.75
607;0.36
608;0.06
609;0.24
610;0.07
611;0.23
612;0.02
613;0.0
614;0.0
615;0.0
616;0.0
617;0.02
618;0.0
619;0.46
620;0.03
621;0.08
622;0.01
623;0.01
624;0.01
625;0.01
626;0.1
627;0.04
628;1.0
629;0.0
630;0.09
631;0.0
632;0.0
633;0.0
634;0.01
635;0.02
636;0.16
637;0.16
638;0.02
639;0.01
640;0.0
641;0.05
642;0.0
643;0.56
644;0.0
645;0.05
646;0.0
647;0.0
648;0.0
649;0.0
650;0.06
651;0.06
652;0.6
653;0.59
654;0.6
655;0.63
656;0.55
657;0.55
658;0.42
659;0.01
660;0.0
661;0.0
662;0.0
663;0.01
664;0.02
665;0.21
666;0.47
667;0.19
668;0.08
669;0.1
670;0.0
671;0.1
672;0.09
673;0.3
674;1.0
675;0.48
676;0.09
677;0.03
678;0.0
679;0.0
680;0.01
681;0.07
682;0.18
683;0.14
684;0.18
685;0.04
686;0.01
687;0.02
688;0.05
689;0.21
690;0.56
691;0.2
692;0.05
693;0.03
694;0.0
695;0.03
696;0.06
697;0.25
698;0.64
699;0.34
700;0.05
701;0.25
702;0.11
703;0.35
704;0.71
705;0.62
706;0.04
707;0.0
708;0.0
709;0.0
710;0.0
711;0.0
712;0.02
713;0.29
714;0.23
715;0.24
716;0.26
717;0.26
718;0.26
719;0.26
720;0.23
721;0.37
722;0.68
723;0.08
724;0.01
725;0.0
726;0.0
727;0.01
728;0.0
729;0.18
730;0.0
731;0.18
732;0.0
733;0.01
734;0.0
735;0.0
736;0.05
737;0.04
738;0.53
739;0.04
740;0.07
741;0.04
742;0.04
743;0.07
744;0.04
745;0.65
746;0.05
747;0.08
748;0.06
749;0.06
750;0.16
751;0.04
752;0.74
753;0.04
754;0.04
755;0.02
756;0.0
757;0.01
758;0.0
759;0.1
760;0.31
761;0.28
762;0.31
763;0.22
764;0.0
765;0.17
766;0.0
767;0.23
768;0.39
769;0.48
770;0.76
771;0.26
772;0.01
